run_id,model,rl_step,filename,reported_sha256,size_bytes,header_bytes,payload_bytes,tensor_count,logical_coordinate_count,selected_coordinate_count,eligible_density,modelwide_realized_nonzero_ratio,logical_mask_dtype,physical_storage_dtype,physical_encoding,flatten_order,padding_bit_count,padding_bits_zero,explicit_int64_indices_stored,derived_index_coverage,reported_tensor_name_list_sha256,reported_generator_script_sha256
pd8b-top040-lam100-lr05-s44-rl160,Qwen3-8B,40,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s44-rl160/masks/mask_rlstep040.safetensors,bbc22a7ed0d62511e519f37dc7c33db72b7c1982acb3eb369175136bdeed4de5,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s44-rl160,Qwen3-8B,80,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s44-rl160/masks/mask_rlstep080.safetensors,9d0116e15f6053f223435c280f44ecb130112c08d99c9e3ad96927c7b913b5bf,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s44-rl160,Qwen3-8B,120,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s44-rl160/masks/mask_rlstep120.safetensors,3a57b6255752bb37c8ede7faefaa0cfe344f0350d1eafbaf97cdf4fda8a32783,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s44-rl160,Qwen3-8B,160,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s44-rl160/masks/mask_rlstep160.safetensors,89adf21c9459ba57f56c382131c9a4eb34adc941fd25da83863d94a251d8f445,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr10-s42-rl160,Qwen3-8B,40,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr10-s42-rl160/masks/mask_rlstep040.safetensors,7475f54ae9b8e7172f6c7cd667a262fe0d481b35275e917e920960197df0ca37,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr10-s42-rl160,Qwen3-8B,80,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr10-s42-rl160/masks/mask_rlstep080.safetensors,7473cd88ef715523ce6da8bdba1ecedf965c1a8bb5ae0496e99a379eed6a60ae,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr10-s42-rl160,Qwen3-8B,120,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr10-s42-rl160/masks/mask_rlstep120.safetensors,56d241b0874a607a5be39acfd7f09f7fffd51d6dfe39507e348bae7cbe5d084d,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr10-s42-rl160,Qwen3-8B,160,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr10-s42-rl160/masks/mask_rlstep160.safetensors,bc6554bfeb9c86fd8e16f87ab102b91ab22c0037619c90a2414c73b84716c8b4,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr10-s43-rl160,Qwen3-8B,40,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr10-s43-rl160/masks/mask_rlstep040.safetensors,747e41e0e28b66ca676b55db79e21052795cf66d9c11381f80b8bf4f26e34c67,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr10-s43-rl160,Qwen3-8B,80,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr10-s43-rl160/masks/mask_rlstep080.safetensors,2e55ca33236f29e243a4777dd0c0538b91824b82f419bf867f310a67daf784e1,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
